slug,iso2,iso3,name
thailand,TH,THA,Thailand
france,FR,FRA,France
japan,JP,JPN,Japan
usa,US,USA,United States
australia,AU,AUS,Australia
germany,DE,DEU,Germany
netherlands,NL,NLD,Netherlands
canada,CA,CAN,Canada
mexico,MX,MEX,Mexico
brazil,BR,BRA,Brazil
india,IN,IND,India
china,CN,CHN,China
south-africa,ZA,ZAF,South Africa
egypt,EG,EGY,Egypt
turkey,TR,TUR,Turkey
spain,ES,ESP,Spain
italy,IT,ITA,Italy
switzerland,CH,CHE,Switzerland
united-arab-emirates,AE,ARE,United Arab Emirates
israel,IL,ISR,Israel
